Date in details,Name and nationality of Economcists / Prophets / Sahaba,Book Title or links,Schools of Thoughts,Crisis / Events,Evolution of Money,Society ,Dates 
,"Prophet Adam (peace be upon him), Earth",Qur’an 2:30–33; 2:35–36,"First labor, stewardship of resources (istikhlaf), basic economic agency",,Obsidian,Neolithic (“new stone age”) begins: men settle and become farmers,9500 BC
,,,,,9000 - 6000 B.C.: Cattle = المواشي,,9000 BC
,,,,,,,8000 BC
,,,,,,,
,,,,,,Fertile Crescent,7000 BC
,,,,,,,
,,,,,,6500-5500 Samarra culture,6000 BC
,,,,,,6000-5000 Halaf pottery shared( Halaf culture ),
,,,,,,5500-4000 Ubaid culture,
,,,,,,,5000 BC
,,,,,,,
,,,,,,,
,,,,,,circa 4200 Sumerian civilization in Mesopotamia.,4200 BC
,,,,,,circa 4000 first city-states Egypt and predynastic monarchies (Uruk period 4000-3100 BC),
,,,,,,3500 Semites integrate Syria,
,,,,,,3300 Semites integrate Sumer,
,,,,,,circa 3200 unification of Egypt,
,,,,,,- 3100 -,
,,,,,loan with commodity ( grain = الحبوب ),"3000 Sumerian civilization is established with a dozen city-states of Ur, Uruk, etc.",
,,,,,,2925 Old Kingdom of Egypt,3000 BC
,,,,,,"2300 Sargon of Akkad absorbs the country of Sumer into his kingdom, first major empire of history",
,"Prophet Nuh (Noah), Mesopotamia",Qur’an 11:37–38; 23:27,"Carpentry, shipbuilding (large‑scale construction), preservation of species",,,2100 Ur-Nammu Legislative Code in Mesopotamia,
,"Prophet Hud, Ād (Southern Arabia)",Qur’an 7:65–72; 26:123–140,Criticism of unjust wealth accumulation and tyranny,,2400 BC the concept of Taxation and equivalence with product by quantifying it,2423 End of the Old Kingdom of Egypt,
,"Prophet Salih, Thamūd (Arabia)",Qur’an 7:73–79; 54:23–31,"Fair distribution of water resources, environmental protection",,,2100 Middle Kingdom of Egypt,
2000-1800 BCE,"Prophet Ibrahim (Abraham), Mesopotamia / Canaan / Hejaz",Qur’an 2:124–129; 4:125; 19:41–50,"Trade, hospitality, pilgrimage economy, agricultural development",,,2000 Hittites arrive in Anatolia,2000 BC
,"Prophet Lut (Lot), Sodom (Dead Sea region)",Qur’an 7:80–84; 26:160–175,"Condemnation of theft, exploitation, and corrupt economic practices",,,1900 Babylonian kingdom’s expansion 1790 Code of Hammurabi in Mesopotamia,
,"Prophet Shu‘ayb, Madyan (northwest Arabia)",Qur’an 7:85–93; 11:84–95; 26:176–190,"Just weights and measures, prohibition of fraud in trade, fair pricing",,,,
1800-1700 BCE,"Prophet Yusuf (Joseph), Egypt",Qur’an 12:43–57; 12:78–82,"Economic planning, grain storage, famine management, state budget allocation",,,,
,"Prophet Ayyub (Job), Unknown / Biblical lands",Qur’an 21:83–84; 38:41–44,"Patience in poverty, wealth recovery, ethics of wealth after hardship",,,1600 Old Assyrian kingdom,
,,,,,,1680 Middle Kingdom of Egypt ends with the Hyksos invasion ,
,,,,,,1580 New Theban Kingdom in Egypt,
1400-1300 BCE,"Prophet Musa (Moses), Egypt / Sinai",Qur’an 2:275–279; 4:161; 28:23–28 (wage contract),"Prohibition of usury (riba), labor rights (Hebrew workers), land distribution",,,1450 Egyptian expansion in SyriaPalestine and Mesopotamia,
,,,,,,c.1300 Advent of Ramses II and peace with Hittites,
,,,,,1200 B.C.: Cowrie Shells,c.1250 Exodus of the Hebrews with Moses,
1000 BCE,"Prophet Dawud (David), Jerusalem",Qur’an 21:78–80; 34:10–11,"Metallurgy (softening iron for armor), fair judgment in commercial disputes",,"1000 B.C.: First Metal Money and Coins",,1000 BC
950 BCE,"Prophet Sulayman (Solomon), Jerusalem / Sheba",Qur’an 21:81–82; 27:17–44; 34:12–13,"Wind energy, mining (copper), international trade (fleet to Ophir, Sheba)",,,,900 BC
,"Prophet Zakariyya (Zechariah), Palestine",Qur’an 19:10–11; 21:89–90,"Carpentry (as a craft), provision for Mary (sustenance management)",,,721 Advent of Sargon II in Assyria,800 BC
,,,,,,"605 Nebuchadnezzar, King of Babylon",
,,,,,,753 Founding of Rome,
,,,,,,750 Greek colonization in the Mediterranean,
,,,,,,"c.1000 Israel: David, Solomon",
,,,,,,721 Destruction of Israel by the powerful Neo-Assyrian empire.,
,,,,,Coins after 640 BC,,700 BC
,,,,,Silver coins in Greece after 595 BC,"597 Nebuchadnezzar takes Jerusalem –after his death in 562, decline of Babylon
",600 BC
,,,,,,586 Captivity of the Jews in Babylon,
,,,,,Gold and silver bimetallism after 550 BC,550 Cyrus founds the Persian Empire,
,,,,,,538 Cyrus frees the Jews of Babylon,
,,,,,,525 Persia annex Egypt  ,
,,,,,,580 Tyrannies in Greece,
,,,,,"500 B.C.: Modern Coinage",504 Democracy in Athens,
,,,,,,485 Persia: Xerxes succeeds Darius,500 BC
,,,,,,480 Athens wards off the Persian menace after the battles of Marathon and Salamis,
,,,,,,460 Pericles in Athens; return of democracy in Greece,
,,,,,,429 Death of Pericles; Greece sinks in the Peloponnesian Wars,
,,,,,,,
,,,,,,400 Egypt regains its independence,400 BC
384-322 BC.,"Aristote, Grec",Auteur des Économiques et de l’Éthique à Nicomaque,"Following Plato’s line of thought (The Republic), Aristotle develops, in the fourth century BC, an original and moral economic theory. A fundamental author of antiquity on this subject, he would have a very strong influence throughout the medieval period due to the transmission of his ideas by Augustine of Hippo. He presents his doctrine in the Nicomachean Ethics, where he explains the fundamental difference between economics and chrematistics. He is also believed to have continued his reflection in the Economics, although the authenticity of this work is uncertain.

Another disciple of Plato, Xenophon, also wrote an economic treatise called the Economics. It is one of the few surviving works from antiquity that is entirely devoted to economic questions.",,,341 Egypt is reconquered by the Persians,
,,,,,,"c.340 Philip II of Macedonia conquers Greece; his son Alexander the Great conquers Egypt, Mesopotamia and Persia",
,,,,,,323 Alexander dies in Babylon,
,,,,,,323 Ptolemy I Soter integrates the Lagid dynasty in Egypt,
,,,,,,321 Seleucus I becomes satrap of Mesopotamia and Iran,
,,,,,,301 Battle of Ipsos between Alexander’s successors,300 BC
,,,,,,264 First Punic War for Rome,
,,,,,,,
,,,,,,,
,,,,,,146 Destruction of Carthage by Rome,200 BC
